dim0,dim1,tissue
-12.9363985,66.12969,Large Intestine
-12.868205,66.16847,Large Intestine
-12.964824,66.21811,Large Intestine
-7.6697264,-35.583904,Skin
-7.661326,-35.581024,Skin
-7.6713614,-35.595875,Skin
2.9686565,50.35902,Stomach
2.966149,50.349888,Stomach
2.9680905,50.36064,Stomach
21.879501,-3.5804486,Soft Tissue
21.639372,-3.9044623,Soft Tissue
22.253809,-4.0873623,Soft Tissue
42.235043,-57.186176,Bone
42.237717,-57.190407,Bone
42.169376,-57.290882,Bone
-48.09719,15.269781,Lung
-48.10136,15.275417,Lung
-48.097366,15.267942,Lung
17.758324,-3.7769551,Central Nervous System
17.7724,-3.7469602,Central Nervous System
17.787786,-3.7219243,Central Nervous System
57.086906,-84.11547,Control_HEK293T
48.722824,-71.260254,Control_HEK293T
45.778366,-78.80422,Control_HEK293T
28.49137,-75.99448,Control_HEK293T
146.3756,27.111685,Control_HEK293T
143.3346,26.606874,Control_HEK293T
137.06769,29.723558,Control_HEK293T
127.90731,39.890854,Control_HEK293T
-53.9094,87.33469,Pancreas
-53.630066,87.71009,Pancreas
-53.302734,87.18579,Pancreas
42.1461,-5.3143744,Pancreas
42.325424,-4.672131,Pancreas
41.863674,-4.96749,Pancreas
-25.510296,-139.07918,Haematopoietic and Lymphoid
-25.530218,-139.68254,Haematopoietic and Lymphoid
-25.946306,-139.23524,Haematopoietic and Lymphoid
-42.493042,93.45577,Lung
-42.994892,93.504395,Lung
-42.85369,94.00226,Lung
75.53973,-16.886032,Lung
75.06744,-16.8074,Lung
75.057686,-17.335073,Lung
-66.70993,96.58917,Pancreas
-66.880936,95.90915,Pancreas
-65.83751,95.959076,Pancreas
40.24944,-0.85984457,Pancreas
40.40524,-1.3832997,Pancreas
39.926937,-1.3492389,Pancreas
6.3811874,67.92913,Breast
6.3373475,67.32747,Breast
5.987566,67.61902,Breast
-12.7646265,94.16308,Stomach
-12.392839,93.816055,Stomach
-12.250546,94.341515,Stomach
47.998028,-0.625102,Testis
47.742085,0.45068884,Testis
47.24717,-0.13301186,Testis
54.486095,-79.38515,Control_HEK293T
51.846767,-80.47925,Control_HEK293T
127.526665,33.34749,Control_HEK293T
123.52159,22.983519,Control_HEK293T
18.471828,-0.6488926,Central Nervous System
18.607006,-0.18442628,Central Nervous System
19.140854,-0.53815764,Central Nervous System
2.4465034,26.99884,Lung
3.3674748,26.585741,Lung
2.8625154,26.494036,Lung
85.19877,-44.145527,Lung
85.79069,-43.234028,Lung
85.76715,-43.580685,Lung
-13.351163,65.99954,Large Intestine
-12.386608,66.49253,Large Intestine
-13.211198,66.69492,Large Intestine
-7.9230556,-35.201748,Skin
-7.68454,-35.59799,Skin
-7.2380223,-35.936867,Skin
2.7814631,50.15959,Stomach
3.4298937,50.257317,Stomach
2.900552,50.61058,Stomach
42.18422,-57.108917,Bone
42.093124,-57.246906,Bone
42.911167,-57.0667,Bone
